cta_per,cta_id,(No column name),(No column name),total
42738,2964117,PTM,6,12429.13
42820,2913256,PTM,112,2513.82
43174,2707434,PTM,6,7740.47
43189,2707625,PTM,6,5891.72
43420,3062474,PTM,1,3667.63
43437,2597161,PTM,9,2664.62
43583,2965198,PTM,13,4931.16
43786,3047778,PTM,84,14072.49
43804,2459309,PTM,6,4331.14
43849,2408990,PTM,12,2831.37
43952,2813933,PTM,6,3372.72
44172,2898402,PTM,6,3472.04
44243,2928877,PTM,6,5614.76
44275,2801169,PTM,6,1282.96
44390,3060857,PTM,6,7766.08
44491,2632485,PTM,129,5925.46
44507,2498810,PTM,9,7362.94
44655,2839987,PTM,1134,5198.99
44668,2922553,PTM,1,516.80
44874,2466723,PTM,1,3998.23
45000,2664138,PTM,6,2024.15
45288,2701642,PTM,9,1798.11
45318,2718734,PTM,26,4766.30
45521,2528596,PTM,9,6300.49
45581,2357607,PTM,12,1929.80
45851,3029467,PTM,9,3731.33
46051,2971881,PTM,1,13508.12
46112,2584585,PTM,3,4967.43
46162,2792610,PTM,9,2584.21
46194,2449090,PTM,6,4738.72
46214,2591037,PTM,6,6300.49
46269,3069872,PTM,11,2689.60
46306,2454426,PTM,72,3305.32
46513,2746605,PTM,3,16097.51
46554,3071465,PTM,3,914.86
46564,2721966,PTM,9,7149.45
46594,2966453,PTM,6,3665.35
46607,2102857,PTM,1,4370.08
46665,2601146,PTM,18,98053.90
46665,2602416,PTM,6,429801.16
46665,3233776,PTM,11,1251341.79
46743,2503227,PTM,15,12506.97
46752,3039340,PTM,9,262073.43
46759,2650678,PTM,0,472506.75
46759,3082685,PTM,13,177531.53
46759,3232495,PTM,23,2043726.03
46759,3238286,PTM,57,3011835.62
46766,3095429,PTM,19,17382.35
46766,3095536,PTM,11,9800.99
46766,3095537,PTM,23,14379.56
46818,1942695,PTM,3,2171.76
46826,3231781,PTM,9,52315.93
46827,3010283,PTM,12,6863.13
46841,1936622,PTM,133,4238.06
46879,2434758,PTM,6,8341.40
46883,2711076,PTM,3,2963.04
46890,2828785,PTM,9,6862.26
46896,2816832,PTM,3,7469.08
47036,2771327,PTM,1,3749.82
47097,2490570,PTM,6,4113.75
47127,2646491,PTM,6,3456.38
47148,3013236,PTM,19,1163.86
47280,2973974,PTM,6,3244.19
47451,2596272,PTM,3,2332.51
47452,2779861,PTM,18,2264.02
47483,2377140,PTM,3,24989.36
47530,3017384,PTM,9,4972.74
47531,2371264,PTM,12,4828.59
47619,2428248,PTM,9,6652.43
47654,2758123,PTM,6,1710.04
47751,2167421,PTM,9,4109.18
47809,2669470,PTM,218,3584.32
47886,2636927,PTM,6,26655.31
47897,2750916,PTM,151,4894.50
47899,2526704,PTM,9,2631.55
47917,2672771,PTM,6,3336.37
48003,3095145,PTM,12,14083.01
48139,2722544,PTM,9,1293.40
48163,3075771,PTM,1,1678.80
48169,2995193,PTM,9,7233.80
48283,2739782,PTM,539,6447.05
48284,2620077,PTM,200,3438.90
48290,2734123,PTM,9,11110.31
48305,3082836,PTM,55,4879.16
48358,2836520,PTM,12,17389.84
48449,2702439,PTM,12,7736.41
48502,2815044,PTM,203,1187.74
48521,3089939,PTM,174,13672.59
48555,2931788,PTM,112,4388.48
48558,2978978,PTM,12,7117.02
48564,3121775,PTM,2,1779.42
48703,3066350,PTM,63,18595.34
48707,2771723,PTM,410,5846.12
48748,2657297,PTM,12,3331.91
48770,2966573,PTM,174,8886.28
48850,2691993,PTM,9,3435.39
48882,2607585,PTM,9,5139.23
48911,2704416,PTM,1,2927.66
48925,2746972,PTM,6,5143.01
48938,2983099,PTM,12,5005.88
48967,2977166,PTM,6,3443.02
49108,2990370,PTM,3,11263.22
49124,2685774,PTM,329,17281.62
49134,2382821,PTM,6,4107.48
49175,2586748,PTM,674,7632.07
49185,1968870,PTM,12,8986.25
49198,2785438,PTM,139,10393.72
49213,2877984,PTM,6,6919.70
49243,3075756,PTM,3,1285.81
49275,2975499,PTM,6,8593.99
49291,2498332,PTM,6,5571.01
49305,2977822,PTM,6,3205.64
49510,2876361,PTM,3,7473.48
49609,2577873,PTM,3,2268.26
49626,2957205,PTM,9,2951.54
49811,2345443,PTM,3,4646.32
49915,3024936,PTM,3,4792.32
49955,2536732,PTM,3,2915.08
49999,2793401,PTM,6,1681.80
50050,2678437,PTM,505,4370.88
50055,2777233,PTM,12,1452.75
50061,3091660,PTM,9,4929.05
50068,2592633,PTM,6,5752.85
50068,2827351,PTM,6,9027.52
50071,2968629,PTM,6,12105.31
50211,2894332,PTM,6,4151.15
50329,2909991,PTM,472,7727.91
50623,2770072,PTM,6,3576.45
50782,2623588,PTM,9,4056.10
50795,2768561,PTM,12,15748.85
50913,2644919,PTM,1,2447.25
50936,3021556,PTM,9,6311.68
50983,2736244,PTM,9,5473.60
51126,2669111,PTM,9,4061.62
51175,2531983,PTM,97,3193.39
51317,2520560,PTM,6,5812.95
51348,2404812,PTM,6,3732.02
51363,2667493,PTM,6,6280.16
51396,2704788,PTM,3,6962.77
51423,3232881,PTM,23,32338.72
51427,3099475,PTM,9,7852.30
51449,2723509,PTM,105,3255.56
51463,2730160,PTM,94,5198.77
51474,2610825,PTM,154,4035.70
51476,2629279,PTM,90,6877.79
51484,2749980,PTM,12,5359.80
51487,2312903,PTM,12,1196.35
51496,2523857,PTM,6,4608.51
51501,2617082,PTM,241,3155.63
51502,2703440,PTM,9,3042.06
51513,2731383,PTM,9,3961.94
51521,2577409,PTM,3,1500.12
51589,2604486,PTM,9,7383.98
51598,2786613,PTM,9,6545.08
51610,2379133,PTM,6,2304.25
51612,2639877,PTM,6,1595.65
51618,2722543,PTM,218,2248.26
51621,2775030,PTM,6,6373.28
51648,2412541,PTM,6,5981.77
51655,2711078,PTM,6,3922.63
51662,2811360,PTM,34,7080.14
51686,2750611,PTM,9,2932.15
51710,2238439,PTM,12,5467.75
51715,2621613,PTM,9,2505.62
51720,2402610,PTM,12,4894.50
51724,2643989,PTM,3,6877.79
51788,2348827,PTM,6,4799.59
51796,2665457,PTM,12,6137.39
51813,2446292,PTM,6,3221.35
51830,2400795,PTM,3,3691.99
51859,2771351,PTM,281,6883.63
51874,3004479,PTM,6,12117.25
51888,2399013,PTM,3,5007.57
51889,3019635,PTM,12,7727.48
51902,2982281,PTM,3,3162.15
51927,2057680,PTM,12,4306.03
51933,2442277,PTM,285,4814.45
51941,2895389,PTM,3,7378.85
51942,2254843,PTM,9,3773.83
51961,2221672,PTM,12,5090.36
51973,2505452,PTM,115,3464.91
51977,2980723,PTM,9,1928.05
51986,2715242,PTM,3,4713.17
51989,2301926,PTM,267,10809.60
51998,2931541,PTM,1,6086.81
52011,2921288,PTM,12,4229.21
52024,2500606,PTM,15,15001.16
52027,2218430,PTM,6,5017.30
52038,2448629,PTM,3,5981.77
52080,2778457,PTM,3,4198.90
52088,2789489,PTM,3,6009.79
52099,2975888,PTM,6,3266.95
52100,2839863,PTM,3,4494.80
52103,2960432,PTM,12,14219.07
52112,2803141,PTM,520,4306.03
52141,2630677,PTM,12,1252.81
52154,2596270,PTM,12,1619.32
52201,2335042,PTM,1,7689.19
52201,3233218,PTM,21,37120.11
52218,2323153,PTM,168,6208.65
52223,2748763,PTM,9,2723.99
52253,2367037,PTM,435,4425.22
52278,2789970,PTM,12,3739.95
52318,3037004,PTM,1,6277.82
52356,2299519,PTM,6,6062.93
52462,2420972,PTM,12,4276.26
52528,3232882,PTM,6,8623.00
52541,3050498,PTM,72,5349.72
52553,2219734,PTM,3,5891.72
52632,2458536,PTM,9,2300.99
52807,2386913,PTM,6,3498.77
52917,3010688,PTM,6,3031.70
52967,2802316,PTM,6,3475.19
53036,2484064,PTM,12,1875.15
53225,2777260,PTM,12,6073.43
53363,2880959,PTM,6,4193.26
53417,3021230,PTM,12,2141.76
53584,2582129,PTM,3,11713.92
53594,3232765,PTM,52,509424.66
53594,3232766,PTM,239,510082.19
53594,3232767,PTM,175,509863.01
53594,3232796,PTM,114,509643.84
53682,2775975,PTM,6,2930.93
53692,2423787,PTM,9,20978.95
53700,3089373,PTM,9,3762.94
53719,2582132,PTM,12,4721.89
53728,2581711,PTM,6,1652.66
53731,2899774,PTM,9,10259.23
53734,2885809,PTM,9,2489.32
53796,2425021,PTM,9,20978.95
53800,2653256,PTM,9,2046.28
53813,2539832,PTM,31,1259.56
53836,2643688,PTM,6,8639.34
53845,2958805,PTM,12,1054.11
53888,3068748,PTM,42,6783.98
53914,2449238,PTM,12,2651.77
53940,3008863,PTM,12,9188.98
53946,2118383,PTM,9,1934.10
53948,2501241,PTM,6,4271.63
53972,2467975,PTM,6,11521.27
53972,3094265,PTM,1,100000.00
53972,3229593,PTM,40,16686.70
53972,3229594,PTM,29,17013.36
53972,3229595,PTM,24,17170.22
53972,3229730,PTM,34,15303.18
53972,3229731,PTM,44,12327.64
53989,2708731,PTM,51,9847.36
53993,3025844,PTM,6,4968.38
53996,2657929,PTM,12,5890.50
54100,2520888,PTM,6,4257.85
54118,2959731,PTM,12,5077.70
54156,2820357,PTM,6,1986.64
54195,2960498,PTM,9,9734.10
54234,2620397,PTM,12,3034.21
54358,2899302,PTM,127,12882.06
54901,3121507,PTM,2,5076.62
54936,2671285,PTM,49,4874.67
55013,2791647,PTM,12,7211.75
55095,2519149,PTM,6,6645.59
55097,2539831,PTM,12,3156.83
55116,3090378,PTM,9,6114.78
55191,2582118,PTM,12,1725.85
55206,2688510,PTM,12,2731.40
55329,2582117,PTM,12,2631.55
55379,2764437,PTM,9,4936.10
55489,2603436,PTM,9,2332.51
55631,3032056,PTM,12,2659.68
55652,2423374,PTM,12,4608.51
55719,2629534,PTM,12,4547.70
55779,2599584,PTM,3,2505.62
55841,2835313,PTM,9,2495.26
55844,2742642,PTM,12,29768.68
55900,2781737,PTM,6,2318.43
55904,2219458,PTM,6,3204.11
56036,2792174,PTM,15,29917.19
56054,2581729,PTM,12,3435.39
56086,2761656,PTM,9,3344.05
56105,2467676,PTM,12,4385.91
56174,2820247,PTM,12,10385.32
56251,2383524,PTM,12,1605.44
56339,2656480,PTM,12,4608.51
56354,2973978,PTM,12,7373.14
56389,2729952,PTM,9,1065.31
56532,2673664,PTM,9,5990.71
56532,3017940,PTM,2,6296.61
56550,2676250,PTM,9,5018.05
56604,2764248,PTM,12,2484.35
56643,3093215,PTM,12,5196.76
56756,2807992,PTM,9,1428.00
56884,2614688,PTM,1,1839.13
56895,3048768,PTM,571,4547.69
56999,2801040,PTM,6,2396.55
57001,2814861,PTM,9,4948.66
57153,2722335,PTM,6,5070.11
57177,2377258,PTM,241,2781.95
57479,3006749,PTM,329,5680.51
57516,2633072,PTM,6,9600.42
57575,3237993,PTM,26,5133.43
57609,2959095,PTM,34,6423.61
57678,2609390,PTM,12,1981.66
57706,2884850,PTM,720,9860.32
57706,3081785,PTM,1090,5255.07
57738,3097239,PTM,23,11130.37
57790,2992842,PTM,6,5750.92
57811,2581778,PTM,3,2580.77
57839,2433916,PTM,9,16659.57
57997,2768711,PTM,300,5135.60
58050,3099241,PTM,12,3146.14
58112,2742591,PTM,12,14434.07
58256,2465589,PTM,6,6377.77
58292,3062165,PTM,12,6462.82
58340,2581726,PTM,6,3492.80
58343,2940497,PTM,6,3319.83
58430,3020501,PTM,854,15037.48
58516,3025738,PTM,3,40448.18
58704,2710436,PTM,6,7082.83
58752,2581755,PTM,6,2304.25
58950,2377253,PTM,1,8020.23
59129,2610832,PTM,12,6889.37
59202,2884360,PTM,6,7198.88
59231,2689341,PTM,499,39249.22
59244,2804566,PTM,464,4884.16
59265,3059290,PTM,12,5397.07
59297,2591248,PTM,6,1983.19
59313,3233130,PTM,26,28067.80
59391,2504869,PTM,9,2738.70
59425,2792571,PTM,12,3479.16
59438,2996839,PTM,180,11177.11
59525,2326318,PTM,1,4921.08
59559,2957178,PTM,9,7622.94
59590,3013306,PTM,9,10989.42
59600,2673461,PTM,6,6432.83
59617,2581820,PTM,6,3541.42
59695,2398133,PTM,6,4799.59
59719,2792200,PTM,6,2624.87
59719,3064330,PTM,3,4291.53
59796,2581821,PTM,6,3438.90
59845,2829902,PTM,6,8265.65
59868,2399450,PTM,12,2533.61
59877,2633084,PTM,12,11579.45
59938,2656502,PTM,6,9570.83
59953,2521019,PTM,6,5454.34
59957,3014449,PTM,6,4756.09
59969,3230101,PTM,6,11769.93
60003,2712809,PTM,6,2389.55
60027,2633085,PTM,12,1935.57
